都道府県,prefecture,学校,週ベ,報知,ホームラン
北北海道,hokkaido,滝川西,4,2,1
南北海道,hokkaido,北海,3,5,4
青森,aomori,青森山田,1,1,1
岩手,iwate,盛岡大付,1,1,1
宮城,miyagi,仙台育英,1,2,2
秋田,akita,明桜,1,1,1
山形,yamagata,日大山形,1,1,1
福島,fukushima,聖光学院,1,1,1
茨城,ibaraki,土浦日大,12,17,8
栃木,tochigi,作新学院,1,1,1
群馬,gunma,前橋育英,1,1,1
埼玉,saitama,花咲徳栄,2,2,2
千葉,chiba,木更津総合,2,2,3
東東京,tokyo,二松学舎大付,3,3,3
西東京,tokyo,東海大菅生,3,3,3
神奈川,kanagawa,横浜,2,2,2
山梨,yamanashi,山梨学院,1,1,1
新潟,niigata,日本文理,1,1,1
長野,nagano,松商学園,4,5,10
静岡,shizuoka,藤枝明誠,3,3,3
愛知,aichi,中京大中京,1,2,2
岐阜,gifu,大垣日大,1,1,1
三重,mie,津田学園,2,2,2
富山,toyama,高岡商,1,1,1
石川,ishikawa,日本航空石川,2,2,2
福井,fukui,坂井,3,6,4
滋賀,shiga,彦根東,3,5,1
京都,kyoto,京都成章,6,7,6
大阪,osaka,大阪桐蔭,1,1,1
兵庫,hyogo,神戸国際大付,2,3,2
奈良,nara,天理,3,4,4
和歌山,wakayama,智弁和歌山,1,1,1
岡山,okayama,おかやま山陽,6,11,7
広島,hiroshima,広陵,2,1,2
鳥取,tottori,米子松蔭,4,10,6
島根,shimane,開星,8,6,10
山口,yamaguchi,下関国際,3,8,12
香川,kagawa,三本松,1,1,1
徳島,tokushima,鳴門渦潮,1,1,1
愛媛,ehime,済美,4,4,3
高知,kochi,明徳義塾,1,1,1
福岡,fukuoka,東筑,10,13,10
佐賀,saga,早稲田佐賀,14,5,8
長崎,nagasaki,波佐見,1,2,3
熊本,kumamoto,秀岳館,1,1,1
大分,oita,明豊,1,1,1
宮崎,miyazaki,聖心ウルスラ,11,9,4
鹿児島,kagoshima,神村学園,1,2,1
沖縄,okinawa,興南,4,4,4
